BASE_DATE,ADM_CD,TOT_OA_CD,population,households,area_sqm,population_density,household_density
20250630,11240650,11240650010006,545,233.0,19578.49638085532,27836.662703726528,11900.81176140969
20250630,11240650,11240650010014,478,253.0,45510.1643347059,10503.148186513552,5559.197680309474
20250630,11240650,11240650010017,519,238.0,25671.500403705766,20216.97181069637,9270.981292766352
20250630,11240650,11240650010101,344,117.0,6058.658269764259,56778.24770489737,19311.206341491255
20250630,11240600,11240600010002,395,206.0,29895.62305550416,13212.636487510019,6890.640801081174
20250630,11240620,11240620010703,575,199.0,10831.07598276318,53087.985064001776,18373.05917867192
20250630,11240620,11240620010405,599,210.0,24942.632742309193,24015.107233806164,8419.319731384465
20250630,11240620,11240620010702,508,178.0,8292.155216675646,61262.722021701244,21466.07188949374
20250630,11240620,11240620010701,630,209.0,5218.38073006717,120727.1053202534,40050.7381141793
20250630,11240620,11240620010902,321,124.0,3439.3884401640507,93330.54570151694,36052.921080959815
20250630,11240620,11240620010901,385,119.0,4191.507314190196,91852.3984669182,28390.741344320173
20250630,11240620,11240620010403,486,166.0,9822.156158202213,49479.97081009089,16900.56616147137
20250630,11240620,11240620010605,519,174.0,7407.53242139741,70063.81754075295,23489.603568576134
20250630,11240620,11240620010404,526,191.0,21255.375554146627,24746.681076514065,8985.962139950925
20250630,11240620,11240620010603,580,208.0,7077.449121109673,81950.43017265263,29389.119786054736
20250630,11240670,11240670020102,396,141.0,6131.316843276264,64586.45183770958,22996.691184639018
20250630,11240600,11240600050301,587,212.0,17608.665699057692,33335.85917480463,12039.526652569986
20250630,11240670,11240670020009,598,279.0,11464.57705451336,52160.66821798543,24335.83015521394
20250630,11240670,11240670020002,435,217.0,19847.575781337946,21917.03434174651,10933.325177376993
20250630,11240600,11240600050204,342,179.0,6749.014779751845,50674.062979689465,26522.38968820004
20250630,11240670,11240670021401,525,218.0,8556.036507781766,61360.186988742906,25479.08716865896
20250630,11240600,11240600050203,380,166.0,8367.61370706977,45413.18628021023,19838.391901354997
20250630,11240600,11240600050004,497,211.0,54602.020277526295,9102.227307229523,3864.3258789244055
20250630,11240600,11240600050201,477,166.0,8032.355275069143,59384.82346274132,20666.416550974966
20250630,11240670,11240670020201,302,94.0,4063.518450665913,74319.82988794094,23132.662283001486
20250630,11240550,11240550010601,417,152.0,5247.040573136273,79473.37059578896,28968.71062484394
20250630,11240540,11240540010105,683,224.0,11857.286438154979,57601.71212548327,18891.337505282947
20250630,11240560,11240560010016,450,216.0,17452.292786561487,25784.577734480044,12376.59731255042
20250630,11240550,11240550010011,535,253.0,86569.64015760428,6179.995654666072,2922.5026180009654
20250630,11240560,11240560010024,507,247.0,12439.783556368191,40756.336129373885,19855.650934823174
20250630,11240560,11240560010009,444,216.0,30087.430397641474,14756.993007777917,7179.077679459528
20250630,11240560,11240560010013,410,195.0,13776.215849786458,29761.438443660514,14154.830479301952
20250630,11240560,11240560010008,580,290.0,20050.33607204764,28927.195929078884,14463.597964539442
20250630,11240560,11240560010301,612,215.0,8896.111359273433,68794.10287080574,24167.862936639274
20250630,11240560,11240560010012,471,227.0,18584.27267694053,25344.010399956056,12214.629216114703
20250630,11240530,11240530010012,488,230.0,35017.43830438549,13935.913751260443,6568.156071290783
20250630,11240530,11240530010009,496,194.0,11351.3607581738,43695.20188518757,17090.46202767417
20250630,11240530,11240530010003,402,198.0,18495.247026650377,21735.313911771264,10705.45312072316
20250630,11240530,11240530010004,399,186.0,8586.256472542358,46469.61120669362,21662.525524924844
20250630,11240530,11240530010001,472,234.0,15336.244399274734,30776.765661241116,15257.972806632248
20250630,11240530,11240530010013,516,220.0,26566.34317532958,19423.07214036049,8281.15478852579
20250630,11240600,11240600050002,436,191.0,20962.86738034197,20798.68140600179,9111.348964555831
20250630,11240560,11240560010007,477,220.0,40160.043288219145,11877.477237180341,5478.081744611478
20250630,11240560,11240560011202,459,105.0,9336.499726919004,49161.89293902198,11246.184659253393
20250630,11240560,11240560011201,419,165.0,7842.371421696499,53427.7168817592,21039.554380645033
20250630,11240560,11240560010002,538,293.0,11542.592687460929,46609.978760183214,25384.244938166696
20250630,11240550,11240550010503,577,195.0,10482.864400788389,55042.2077344247,18601.785976105402
20250630,11240550,11240550010501,594,233.0,23924.404788246968,24828.203888767453,9739.009269499691
20250630,11240560,11240560010201,406,167.0,6856.070467252774,59217.59438430687,24357.97601521982
20250630,11240560,11240560010011,553,284.0,12716.491650859192,43486.83702887788,22333.203826765497
20250630,11240550,11240550010502,495,187.0,10639.469220519442,46524.87729795162,17576.064757003947
20250630,11240560,11240560010015,559,278.0,18086.523145268304,30906.990553695363,15370.560597365493
20250630,11240560,11240560010004,499,230.0,12552.345324786438,39753.52709701602,18323.269002632635
20250630,11240550,11240550010504,459,177.0,7495.611902573774,61235.827837136654,23613.81596334028
20250630,11240560,11240560010019,485,241.0,15643.154696131292,31003.976462621402,15406.099644312902
20250630,11240600,11240600050202,486,221.0,6822.570939388264,71234.14389056928,32392.481069579855
20250630,11240600,11240600050101,583,217.0,18443.67000159728,31609.760961322256,11765.554251469863
20250630,11240600,11240600050402,401,142.0,10259.152823150243,39087.04811328332,13841.298833132749
20250630,11240600,11240600050401,367,120.0,11596.614282006578,31647.167964311866,10347.8478357423
20250630,11240600,11240600050001,449,186.0,19438.664401005182,23098.29475613469,9568.558629490093
20250630,11240600,11240600050005,413,178.0,29774.99508929117,13870.699181023172,5978.170591336863
20250630,11240600,11240600050003,432,205.0,10803.93157326424,39985.44391645734,18974.574080726285
20250630,11240600,11240600040301,529,190.0,6111.947317438243,86551.79315611717,31086.655386885184
20250630,11240600,11240600020013,528,218.0,14374.233141120361,36732.394334801116,15166.026448838338
20250630,11240600,11240600020014,510,240.0,9799.19600636988,52045.08611405252,24491.805230142363
20250630,11240560,11240560010028,429,210.0,11953.932578276494,35887.77142507966,17567.440557731305
20250630,11240560,11240560010005,503,242.0,48585.91725942545,10352.794150498832,4980.867165846356
20250630,11240560,11240560010014,529,257.0,23008.42718614047,22991.57590044453,11169.820428004243
20250630,11240560,11240560010101,642,247.0,9937.6001024171,64603.12282478018,24855.095541621034
20250630,11240560,11240560010010,585,246.0,172044.06413531431,3400.291680739952,1429.8662452342362
20250630,11240560,11240560010003,437,229.0,11543.211392246174,37857.749039711984,19838.500068865087
20250630,11240560,11240560010022,587,263.0,31869.518103639024,18418.853968581763,8252.399648614997
20250630,11240560,11240560010025,566,305.0,14461.382064054173,39138.721146637414,21090.65362142122
20250630,11240560,11240560010023,561,212.0,12715.374863338684,44119.81605178551,16672.729060567784
20250630,11240560,11240560010017,463,181.0,89207.16376275058,5190.1661309551755,2028.985031755695
20250630,11240560,11240560010701,339,134.0,5347.823398525337,63390.2757696672,25056.923165591164
